"","worst_deal","better_deal","binary_target"
"105","8984512.0","6068934.0","0.0"
"106","6068934.0","6601918.0","1.0"
"107","6601918.0","6068934.0","0.0"
"108","6068934.0","11128327.0","1.0"
"109","11128327.0","6068934.0","0.0"
"110","10882677.0","8597734.0","1.0"
"111","8597734.0","10882677.0","0.0"
"112","10882677.0","7541851.0","1.0"
"113","7541851.0","10882677.0","0.0"
"114","10882677.0","7294741.0","1.0"
"115","7294741.0","10882677.0","0.0"
"116","10882677.0","6068934.0","1.0"
"117","6068934.0","10882677.0","0.0"
"118","10882677.0","6601918.0","1.0"
"119","6601918.0","10882677.0","0.0"
"120","10882677.0","10106328.0","1.0"
"121","10106328.0","10882677.0","0.0"
"122","10882677.0","12039411.0","1.0"
"123","12039411.0","10882677.0","0.0"
"124","10882677.0","11472869.0","1.0"
"125","11472869.0","10882677.0","0.0"
"126","10882677.0","8413492.0","1.0"
"127","8413492.0","10882677.0","0.0"
"128","10882677.0","8984512.0","1.0"
"129","8984512.0","10882677.0","0.0"
"130","10882677.0","11128327.0","1.0"
"131","11128327.0","10882677.0","0.0"
"132","10183442.0","11472869.0","1.0"
"133","11472869.0","10183442.0","0.0"
"134","10183442.0","10106328.0","1.0"
"135","10106328.0","10183442.0","0.0"
"136","10183442.0","12039411.0","1.0"
"137","12039411.0","10183442.0","0.0"
"138","10183442.0","8413492.0","1.0"
"139","8413492.0","10183442.0","0.0"
"140","10183442.0","8984512.0","1.0"
"141","8984512.0","10183442.0","0.0"
"142","10183442.0","7294741.0","1.0"
"143","7294741.0","10183442.0","0.0"
"144","10183442.0","6068934.0","1.0"
"145","6068934.0","10183442.0","0.0"
"146","10183442.0","7541851.0","1.0"
"147","7541851.0","10183442.0","0.0"
"148","10183442.0","10882677.0","1.0"
"149","10882677.0","10183442.0","0.0"
"150","10183442.0","8597734.0","1.0"
"151","8597734.0","10183442.0","0.0"
"152","10183442.0","6601918.0","1.0"
"153","6601918.0","10183442.0","0.0"
"154","10183442.0","11128327.0","1.0"
"155","11128327.0","10183442.0","0.0"
"156","5663559.0","11472869.0","1.0"
"157","11472869.0","5663559.0","0.0"
"158","5663559.0","10183442.0","1.0"
"159","10183442.0","5663559.0","0.0"
"160","5663559.0","8984512.0","1.0"
"161","8984512.0","5663559.0","0.0"
"162","5663559.0","8413492.0","1.0"
"163","8413492.0","5663559.0","0.0"
"164","5663559.0","10106328.0","1.0"
"165","10106328.0","5663559.0","0.0"
"166","5663559.0","12039411.0","1.0"
"167","12039411.0","5663559.0","0.0"
"168","5663559.0","7294741.0","1.0"
"169","7294741.0","5663559.0","0.0"
"170","5663559.0","6068934.0","1.0"
"171","6068934.0","5663559.0","0.0"
"172","5663559.0","7541851.0","1.0"
"173","7541851.0","5663559.0","0.0"
"174","5663559.0","10882677.0","1.0"
"175","10882677.0","5663559.0","0.0"
"176","5663559.0","8597734.0","1.0"
"177","8597734.0","5663559.0","0.0"
"178","5663559.0","6601918.0","1.0"
"179","6601918.0","5663559.0","0.0"
"180","5663559.0","11128327.0","1.0"
"181","11128327.0","5663559.0","0.0"
"182","11504059.0","8984512.0","1.0"
"183","8984512.0","11504059.0","0.0"
"184","11504059.0","8413492.0","1.0"
"185","8413492.0","11504059.0","0.0"
"186","11504059.0","5663559.0","1.0"
"187","5663559.0","11504059.0","0.0"
"188","11504059.0","11472869.0","1.0"
"189","11472869.0","11504059.0","0.0"
"190","11504059.0","10183442.0","1.0"
"191","10183442.0","11504059.0","0.0"
"192","11504059.0","12039411.0","1.0"
"193","12039411.0","11504059.0","0.0"
"194","11504059.0","10106328.0","1.0"
"195","10106328.0","11504059.0","0.0"
"196","11504059.0","6068934.0","1.0"
"197","6068934.0","11504059.0","0.0"
"198","11504059.0","7294741.0","1.0"
"199","7294741.0","11504059.0","0.0"
"200","11504059.0","11128327.0","1.0"
"201","11128327.0","11504059.0","0.0"
"202","11504059.0","7541851.0","1.0"
"203","7541851.0","11504059.0","0.0"
"204","11504059.0","10882677.0","1.0"
"205","10882677.0","11504059.0","0.0"
"206","11504059.0","8597734.0","1.0"
"207","8597734.0","11504059.0","0.0"
"208","11504059.0","6601918.0","1.0"
"209","6601918.0","11504059.0","0.0"
"210","10112367.0","7294741.0","1.0"
"211","7294741.0","10112367.0","0.0"
"212","10112367.0","6068934.0","1.0"
"213","6068934.0","10112367.0","0.0"
"214","10112367.0","10106328.0","1.0"
"215","10106328.0","10112367.0","0.0"
"216","10112367.0","12039411.0","1.0"
"217","12039411.0","10112367.0","0.0"
"218","10112367.0","10183442.0","1.0"
"219","10183442.0","10112367.0","0.0"
"220","10112367.0","11472869.0","1.0"
"221","11472869.0","10112367.0","0.0"
"222","10112367.0","7541851.0","1.0"
"223","7541851.0","10112367.0","0.0"
"224","10112367.0","10882677.0","1.0"
"225","10882677.0","10112367.0","0.0"
"226","10112367.0","5663559.0","1.0"
"227","5663559.0","10112367.0","0.0"
"228","10112367.0","8413492.0","1.0"
"229","8413492.0","10112367.0","0.0"
"230","10112367.0","8984512.0","1.0"
"231","8984512.0","10112367.0","0.0"
"232","10112367.0","8597734.0","1.0"
"233","8597734.0","10112367.0","0.0"
"234","10112367.0","11504059.0","1.0"
"235","11504059.0","10112367.0","0.0"
"236","10112367.0","6601918.0","1.0"
"237","6601918.0","10112367.0","0.0"
"238","10112367.0","11128327.0","1.0"
"239","11128327.0","10112367.0","0.0"
"240","8379645.0","8597734.0","1.0"
"241","8597734.0","8379645.0","0.0"
"242","8379645.0","10882677.0","1.0"
"243","10882677.0","8379645.0","0.0"
"244","8379645.0","7541851.0","1.0"
"245","7541851.0","8379645.0","0.0"
"246","8379645.0","6601918.0","1.0"
"247","6601918.0","8379645.0","0.0"
"248","8379645.0","7294741.0","1.0"
"249","7294741.0","8379645.0","0.0"
"250","8379645.0","6068934.0","1.0"
"251","6068934.0","8379645.0","0.0"
"252","8379645.0","10112367.0","1.0"
"253","10112367.0","8379645.0","0.0"
"254","8379645.0","10106328.0","1.0"
"255","10106328.0","8379645.0","0.0"
"256","8379645.0","12039411.0","1.0"
"257","12039411.0","8379645.0","0.0"
"258","8379645.0","10183442.0","1.0"
"259","10183442.0","8379645.0","0.0"
"260","8379645.0","11472869.0","1.0"
"261","11472869.0","8379645.0","0.0"
"262","8379645.0","5663559.0","1.0"
"263","5663559.0","8379645.0","0.0"
"264","8379645.0","8413492.0","1.0"
"265","8413492.0","8379645.0","0.0"
"266","8379645.0","8984512.0","1.0"
"267","8984512.0","8379645.0","0.0"
"268","8379645.0","11504059.0","1.0"
"269","11504059.0","8379645.0","0.0"
"270","8379645.0","11128327.0","1.0"
"271","11128327.0","8379645.0","0.0"
"272","7264929.0","7294741.0","1.0"
"273","7294741.0","7264929.0","0.0"
"274","7264929.0","10112367.0","1.0"
"275","10112367.0","7264929.0","0.0"
"276","7264929.0","6068934.0","1.0"
"277","6068934.0","7264929.0","0.0"
"278","7264929.0","10106328.0","1.0"
"279","10106328.0","7264929.0","0.0"
"280","7264929.0","12039411.0","1.0"
"281","12039411.0","7264929.0","0.0"
"282","7264929.0","7541851.0","1.0"
"283","7541851.0","7264929.0","0.0"
"284","7264929.0","10183442.0","1.0"
"285","10183442.0","7264929.0","0.0"
"286","7264929.0","11472869.0","1.0"
"287","11472869.0","7264929.0","0.0"
"288","7264929.0","10882677.0","1.0"
"289","10882677.0","7264929.0","0.0"
